date,high,low,open,close,volume,quoteVolume,weightedAverage
1640995200,3694.63034214,3675.23213207,3675.23213207,3690.6652425,112397.82610529,30.49048908,3686.32414555
1640995500,3706.47171789,3689.36597042,3690.41463754,3697.35395774,28305.23917418,7.64292915,3703.45434566
1640995800,3699.16440437,3687.39431893,3695.14961417,3692.26071882,3651.83193272,0.98761497,3697.62715597
1640996100,3693.65568701,3686.46765381,3692.26071652,3689.36196128,27695.07395997,7.50229531,3691.5467621
1640996400,3699.6045226,3689.2678462,3690.7956005,3699.6045226,289.79096023,0.07841957,3695.3908346
1640996700,3699.85041958,3695.55931935,3698.69697893,3696.56035028,8510.31748211,2.30119915,3698.20990161
1640997000,3702.10442757,3694.84273013,3697.80147317,3702.10442757,3765.73612101,1.01784418,3699.71769255
1640997300,3711.52356387,3701.64167639,3701.73423099,3711.05963277,3967.08111917,1.06954738,3709.12144085
1640997600,3720.9079136,3706.14510301,3710.68853847,3715.09315341,32884.70455478,8.84579147,3717.55367129
1640997900,3728.21937548,3712.97845432,3714.13005663,3723.40039905,68967.95457088,18.52079613,3723.81155144
1640998200,3724.90738154,3717.7300259,3723.30731403,3721.70904347,145.45086131,0.03907387,3722.45854617
1640998500,3724.98249343,3721.70904347,3721.80208852,3723.72324257,242.59452465,0.06515114,3723.56530761
1640998800,3723.63014715,3714.8372292,3723.63014715,3716.27570941,255.24921594,0.0686462,3718.32987029
1640999100,3722.94144495,3715.18596512,3715.55645998,3720.68343749,351.6168358,0.0945524,3718.75103971
1640999400,3727.23568163,3721.97101903,3722.0619846,3727.23568163,4033.57209603,1.08284971,3724.96022189
1640999700,3744.32511961,3727.10061816,3727.23568163,3744.32511961,18322.49344637,4.90515372,3735.35560601
1641000000,3747.10372111,3735.8675226,3745.15597644,3738.69936272,834.16165838,0.22286076,3742.97233119
1641000300,3741.00876388,3734.84327966,3739.31215328,3736.48614352,760.12191257,0.20339599,3737.1528936
1641000600,3740.52315863,3736.11279549,3738.70787386,3739.40585561,499.50931953,0.13361657,3738.37855243
1641000900,3742.24237444,3734.9305867,3738.54375938,3738.02232313,281.20818546,0.07518384,3740.27431252
1641001200,3736.59463833,3733.05662549,3735.96680658,3734.48144169,13017.69169858,3.48662803,3733.60495773
1641001500,3734.29471994,3725.78066183,3734.29471994,3726.96621104,873.73575841,0.23430515,3729.05059243
1641001800,3732.86520387,3725.31414016,3726.96621104,3725.40416505,283.96463143,0.07616164,3728.44691155
1641002100,3726.77699353,3722.77276233,3726.14931112,3725.86096694,241.97339674,0.06496362,3724.75235739
1641002400,3729.82157435,3725.02995002,3725.4883948,3729.54184471,282.88836407,0.07588078,3728.06347102
1641002700,3731.23427873,3722.82000001,3729.54184472,3725.82305137,401.34744961,0.10763648,3728.73072042
1641003000,3728.40175279,3722.96448444,3725.82305137,3725.05381604,441.90544449,0.11860463,3725.87009879
1641003300,3737.48470855,3726.43286239,3726.43286239,3735.98313063,14250.86186077,3.82000163,3730.5905183
1641003600,3736.15477375,3730.59848408,3735.88973105,3730.59848408,12072.46087862,3.23476251,3732.10114847
1641003900,3733.15842214,3730.76216946,3730.88447663,3731.04631014,557.112929,0.14926519,3732.37007905
1641004200,3729.73507055,3726.32150739,3729.72089872,3727.24979214,354.33222072,0.09502823,3728.70483561
1641004500,3727.91142535,3722.8846516,3727.85705431,3726.86942847,4281.98895583,1.14901312,3726.66672059
1641004800,3728.95031309,3726.28942978,3726.86942847,3728.51361696,4141.47849573,1.11123473,3726.91600066
1641005100,3732.39534829,3728.51361696,3728.51361696,3731.61230582,293.5068557,0.07869046,3729.89121812
1641005400,3733.7636166,3728.51856354,3731.61230582,3733.23693617,436.44706857,0.11694243,3732.15323619
1641005700,3735.08237465,3727.44107785,3732.00154128,3728.47241806,316.05110102,0.08469877,3731.47214563
1641006000,3729.12411608,3724.13765251,3728.56562988,3726.49294374,13351.96864766,3.58387091,3725.5718699
1641006300,3728.05676191,3725.16429717,3727.74543537,3727.88045796,2131.01172208,0.57170792,3727.44831326
1641006600,3731.14350869,3727.6932057,3727.88045796,3731.14350869,7810.48966611,2.09441916,3729.19127903
1641006900,3735.77369648,3728.27981858,3729.78391237,3735.77369648,710.6923494,0.19028601,3734.86389992
1641007200,3735.54784738,3727.54013766,3735.54784738,3728.37704638,342.75122184,0.09181237,3733.17039791
1641007500,3732.93178018,3727.72654872,3728.37704638,3731.35938513,299.66725612,0.08035973,3729.07246106
1641007800,3731.77638258,3729.0430817,3730.95484001,3731.77638258,127.63121873,0.03420961,3730.85863109
1641008100,3731.8825625,3729.99680078,3731.77638258,3731.8825625,104.41453745,0.02798259,3731.41076134
1641008400,3732.44958197,3731.06289406,3731.8825625,3731.62985144,400.33030589,0.10729048,3731.27518765
1641008700,3731.9657251,3728.67467839,3731.24949631,3728.67467839,224.93210504,0.06029229,3730.6943399
1641009000,3729.14240701,3724.39792435,3727.54013766,3728.47752314,243.31085318,0.06528945,3726.64884114
1641009300,3728.38431121,3725.07274172,3728.38431121,3725.07274172,4517.07872318,1.2116433,3728.05983674
1641009600,3728.43,3724.92391933,3724.92391933,3727.46904204,906.73481115,0.24322961,3727.89649728
1641009900,3727.81593823,3724.78446374,3727.46904204,3725.97661045,3046.11708041,0.81735743,3726.78704396
1641010200,3725.81569613,3713.60196192,3725.78842576,3713.84819707,4739.75593071,1.27374055,3721.1313801
1641010500,3718.18083589,3713.84819708,3713.84819708,3715.97134177,4731.72868706,1.27365269,3715.08553643
1641010800,3719.51092202,3713.25225601,3717.00994842,3714.11677773,14884.90541565,4.00672643,3714.979217
1641011100,3719.81117699,3714.29735196,3714.3902213,3717.37730914,643.59136596,0.17315041,3716.94970845
1641011400,3717.37730914,3713.77966791,3717.37730914,3716.49423962,119.03344945,0.03203046,3716.25788249
1641011700,3715.47781411,3711.52928824,3713.81795384,3714.94021902,436.82449997,0.11763466,3713.39960493
1641012000,3718.44028655,3713.99160961,3715.03309253,3715.62099834,324.65022705,0.08736155,3716.1683493
1641012300,3722.01970131,3715.27982097,3715.27982097,3722.01970131,4562.85885006,1.22795371,3715.82317224
1641012600,3724.6838709,3717.67304173,3722.123365,3717.84390002,27740.42572268,7.45675948,3720.17171763
1641012900,3717.84390002,3708.95993671,3717.84390002,3709.12133293,51536.60562159,13.88916819,3710.56098656
1641013200,3711.93513088,3707.22153462,3709.12133293,3707.82006736,12032.31487569,3.24432573,3708.72590394
1641013500,3706.52784732,3704.54667407,3706.46251525,3704.90208546,7664.01017612,2.06849395,3705.11607061
1641013800,3713.23016874,3704.90208546,3704.90208546,3713.23016874,252.31351695,0.06802984,3708.86535902
1641014100,3715.5128508,3711.66786872,3714.98142525,3714.83149848,200.00578264,0.05385442,3713.82298136
